,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,Trainer,CurrentRating,StartofTheSeasonRating
854,美麗笑聲,澳洲,4,2018,棗,閹,"$2,780,475","$3,539,675",3,2,3,10,蔡約翰,81,57
855,美麗邂逅,英國,4,2018,棗,閹,"$2,043,625","$2,993,475",1,1,2,15,告東尼,75,71
856,翔龍再現,紐西蘭,4,2018,栗,閹,"$37,800","$812,600",1,0,1,11,賀賢,52,53
857,翡翠綠,南非,7,2015,灰,閹,"$37,800","$3,510,360",3,5,3,40,苗禮德,48,55
858,翡翠鳳凰,紐西蘭,6,2016,棕,閹,"$739,800","$3,950,945",3,6,6,30,羅富全,64,60
859,翩翩君子,紐西蘭,5,2017,棗,閹,"$60,375","$1,958,225",2,1,1,13,蔡約翰,61,65
860,耀力之城,澳洲,3,2019,棕,閹,$0,"$59,500",0,0,0,3,大衛希斯,48,50
861,耀滿瓶,日本,7,2015,深棗,雄,"$2,200,000","$30,500,000",2,1,1,4,尾關知人,,
862,老表醒,紐西蘭,7,2015,棗,閹,"$255,150","$902,350",1,1,1,28,葉楚航,25,26
863,聖鑽神駒,澳洲,4,2018,棕,閹,$0,$0,0,0,0,0,告東尼,64,64
864,聚才,澳洲,7,2015,棗,閹,"$2,430,900","$14,943,900",6,4,2,25,大衛希斯,119,114
865,聚風雲,紐西蘭,4,2018,棗,閹,"$37,800","$630,600",1,0,0,5,丁冠豪,55,57
866,聰明導彈,澳洲,7,2015,棗,閹,$0,"$7,674,080",5,7,5,49,方嘉柏,69,76
867,肥仔醒醒,澳洲,4,2018,棗,閹,$0,$0,0,0,0,2,大衛希斯,71,73
868,育成精彩,紐西蘭,5,2017,棕,閹,"$405,000","$718,900",0,2,2,15,沈集成,36,35
869,胆大威猛,澳洲,6,2016,棗,閹,"$64,800","$1,988,623",2,2,1,26,姚本輝,49,55
870,胡椒軍曹,澳洲,5,2017,棗,閹,"$465,300","$1,837,850",1,2,3,19,徐雨石,59,59
871,能文能武,澳洲,4,2018,棗／棕,閹,"$253,800","$477,400",0,0,1,9,呂健威,46,49
872,自來金,紐西蘭,5,2017,棗,閹,$0,"$920,400",1,1,0,9,韋達,52,52
873,自力更生,澳洲,5,2017,棕,閹,"$588,000","$2,008,850",1,2,1,11,呂健威,75,72
874,自勝者強,紐西蘭,4,2018,棕,閹,"$983,250","$2,566,350",3,0,2,7,蔡約翰,77,70
875,自然力量,紐西蘭,6,2016,棗,閹,"$294,500","$3,946,320",3,5,2,29,姚本輝,62,62
876,自然勁,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,1,方嘉柏,52,52
877,自然輝煌,澳洲,5,2017,棗,閹,"$1,466,250","$3,782,000",3,1,2,15,呂健威,80,74
878,至尊高飛,澳洲,4,2018,棗,閹,"$115,560","$115,560",0,0,0,2,蔡約翰,52,52
879,與龍起舞,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,大衛希斯,52,52
880,興高采烈,愛爾蘭,5,2017,棗,閹,"$653,400","$2,267,000",3,0,2,28,伍鵬志,56,52
881,舞林密碼,澳洲,4,2018,棗／棕,閹,$0,$0,0,0,0,0,方嘉柏,67,67
882,艮志騰雲,澳洲,8,2014,栗,閹,"$1,042,800","$10,411,275",6,9,6,49,沈集成,93,92
883,色種笑,愛爾蘭,3,2019,棗／棕,閹,$0,$0,0,0,0,0,蔡約翰,52,52
884,艾莉奧,愛爾蘭,4,2018,棗,閹,$0,$0,0,0,0,2,大衛希斯,61,63
885,芙蓉莊,澳洲,8,2014,棗,閹,"$264,875","$4,740,510",5,2,6,52,姚本輝,60,61
886,英之星,澳洲,7,2015,棗,閹,"$92,400","$8,894,330",5,4,3,45,姚本輝,80,85
887,英雄豪傑,澳洲,5,2017,棗,閹,"$653,400","$827,950",1,0,1,9,文家良,66,56
888,英雄豪邁,澳洲,4,2018,栗,閹,"$2,380,000","$2,380,000",1,0,2,3,羅富全,74,64
889,荃程路通,紐西蘭,5,2017,棗,閹,$0,$0,0,0,0,8,文家良,34,40
890,華卓晴,紐西蘭,5,2017,棗,閹,$0,"$2,279,800",3,1,1,18,蔡約翰,61,66
891,華美福星,紐西蘭,5,2017,栗,閹,"$178,200","$616,950",0,2,2,22,徐雨石,25,26
892,華麗活力,澳洲,4,2018,棗,閹,"$198,375","$1,660,175",2,0,2,9,羅富全,71,71
893,菲力大帝,紐西蘭,5,2017,棕,閹,$0,"$119,600",0,0,1,10,鄭俊偉,30,37
894,萬事快,澳洲,3,2019,棗,閹,"$124,200","$124,200",0,0,1,1,姚本輝,52,52
895,萬事有,澳洲,6,2016,棗,閹,$0,"$1,162,200",2,0,0,12,容天鵬,45,48
896,萬事正,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,告東尼,52,52
897,萬事靚,澳洲,3,2019,棗,閹,$0,$0,0,0,0,0,容天鵬,52,52
898,萬市之光,紐西蘭,6,2016,棗,閹,"$124,200","$1,743,200",2,1,2,17,蘇偉賢,59,59
899,萬眾力得,澳洲,5,2017,栗,閹,$0,"$5,111,300",5,2,6,29,羅富全,67,72
900,萬眾開心,紐西蘭,3,2019,棗,閹,$0,$0,0,0,0,0,黎昭昇,52,52
901,萬里飛至,澳洲,5,2017,棗,閹,"$853,200","$1,518,150",1,3,0,19,蘇偉賢,55,49
902,蒲俠超得,澳洲,6,2016,棗,閹,$0,"$817,000",1,0,1,20,容天鵬,41,43
903,藍海鐵騎,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,2,沈集成,50,52
904,蝦李波特,澳洲,4,2018,栗,閹,$0,$0,0,0,0,2,蔡約翰,48,48
905,蝦餃燒賣,澳洲,5,2017,棗,閹,$0,"$1,732,800",3,0,0,14,伍鵬志,64,64
906,蟲草之凰,澳洲,5,2017,棗,閹,$0,"$1,294,800",2,0,2,17,呂健威,45,47
907,蟲草成名,澳洲,4,2018,棗,閹,"$1,033,000","$10,118,050",6,4,1,16,高伯新,112,107
908,行樂之光,澳洲,6,2016,棗,閹,$0,"$993,450",1,2,2,22,蘇偉賢,29,33
909,西利哥,英國,6,2016,棗,閹,$0,"$3,915,700",4,1,1,29,羅富全,79,82
910,親愛的,紐西蘭,5,2017,栗,閹,$0,$0,0,0,0,9,何良,27,30
911,觔斗雲,紐西蘭,5,2017,棕,閹,"$1,411,700","$3,762,850",3,2,4,16,姚本輝,73,67
912,話你知,澳洲,4,2018,栗,閹,$0,$0,0,0,0,0,方嘉柏,52,52
913,話贏就贏,澳洲,5,2017,棗,閹,$0,"$220,000",0,1,0,2,丁冠豪,48,48
914,誠心所願,紐西蘭,5,2017,棗,閹,"$733,050","$1,024,150",1,2,1,15,韋達,43,36
915,請不要問,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,4,蔡約翰,44,52
916,請讓路,澳洲,6,2016,棗,閹,"$48,600","$83,600",0,0,0,13,丁冠豪,20,27
917,論文,英國,3,2019,棗,雄,$0,$0,0,0,0,1,高伯新,75,75
918,謎語,澳洲,5,2017,棗,閹,"$141,750","$917,650",1,1,2,23,徐雨石,32,33
919,謙謙君子,愛爾蘭,3,2019,栗,閹,$0,$0,0,0,0,5,何良,52,60
920,識贏,紐西蘭,4,2018,棗,閹,"$60,375","$1,822,825",2,0,1,7,羅富全,70,73
921,識途好馬,紐西蘭,3,2019,棗,閹,$0,$0,0,0,0,0,黎昭昇,52,52
922,變數,澳洲,5,2017,棗,閹,"$1,083,000","$3,323,490",3,1,2,18,丁冠豪,66,61
923,讓愛高飛,愛爾蘭,5,2017,棗,閹,$0,"$2,833,850",3,0,0,10,告東尼,82,82
924,豐彩華庭,法國,5,2017,棗,閹,$0,"$1,572,600",1,3,1,14,何良,50,50
925,豐盛多彩,愛爾蘭,3,2019,沙,閹,"$37,800","$37,800",0,0,0,9,高伯新,38,56
926,豪堡,愛爾蘭,2,2020,栗,閹,$0,$0,0,0,0,0,蔡約翰,,
927,豹子膽,澳洲,6,2016,棕,閹,"$449,550","$1,768,640",1,5,2,32,徐雨石,33,32
928,財才,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,伍鵬志,65,65
929,財駿,澳洲,5,2017,棕,閹,"$399,600","$1,660,450",1,2,4,17,沈集成,57,60
930,賞心星,紐西蘭,7,2015,棗,閹,"$275,400","$3,587,075",4,4,8,57,方嘉柏,31,35
931,賽得意,澳洲,5,2017,栗,閹,"$739,800","$859,400",1,0,2,10,羅富全,47,41
932,贏你一步,澳洲,4,2018,棗,閹,$0,$0,0,0,0,0,丁冠豪,52,52
933,贏盡天下,愛爾蘭,5,2017,棗,閹,$0,"$1,548,800",1,3,2,13,韋達,56,57
934,贏科超影,愛爾蘭,8,2014,棗,閹,$0,"$5,379,185",6,2,3,58,高伯新,52,60
935,赤子雄心,德國,4,2018,棕,閹,"$449,550","$692,650",0,2,3,17,方嘉柏,34,32
936,赤火驍龍,紐西蘭,6,2016,灰,閹,"$977,400","$1,981,000",2,2,2,23,蘇偉賢,49,41
937,赤馬雄風,紐西蘭,6,2016,棗,閹,"$2,002,600","$7,406,260",8,4,2,32,大衛希斯,80,73
938,超勁寶寶,澳洲,4,2018,棗,閹,$0,$0,0,0,0,4,姚本輝,60,65
939,超勁日子,愛爾蘭,2,2020,棗,閹,$0,$0,0,0,0,0,伍鵬志,,
940,超好日子,澳洲,6,2016,棗,閹,"$238,000","$10,230,500",7,5,1,29,呂健威,98,104
941,超好運,紐西蘭,4,2018,栗,閹,$0,$0,0,0,0,0,姚本輝,52,52
942,超威力,紐西蘭,4,2018,棗,閹,$0,$0,0,0,0,0,黎昭昇,52,52
