,HorseName,HorseOrigin,Age,YearOfBirth,Color,Sex,H_SeasonalStake,H_TotalStake,H_1st,H_2nd,H_3rd,H_Total,H_Trainer,CurrentRating,StartofTheSeasonRating
355,暴風客,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,1,Not Available,52,NotAvailable
356,最合拍,澳洲,7,2015,棗,閹,Not Available,"$11,541,300",8,2,2,17,Not Available,110,NotAvailable
357,會展達人,澳洲,7,2015,棗,閹,Not Available,"$1,517,500",2,2,1,30,Not Available,37,NotAvailable
358,會長之星,愛爾蘭,7,2015,棗,閹,Not Available,"$5,308,410",4,5,2,36,Not Available,77,NotAvailable
359,有得精彩,澳洲,7,2015,棗／棕,閹,Not Available,"$1,090,050",1,1,1,13,Not Available,53,NotAvailable
360,有毅君子,澳洲,7,2015,棗,閹,Not Available,"$679,210",1,0,0,22,Not Available,36,NotAvailable
361,有視力,紐西蘭,7,2015,棗,閹,Not Available,"$676,750",0,1,3,14,Not Available,52,NotAvailable
362,有錢分,紐西蘭,7,2015,棗,閹,Not Available,"$1,444,050",1,2,2,25,Not Available,24,NotAvailable
363,有錢開心,南非,7,2015,棗,閹,Not Available,$0,0,0,0,6,Not Available,33,NotAvailable
364,東方雷,紐西蘭,7,2015,棗,閹,Not Available,"$795,000",1,0,4,19,Not Available,34,NotAvailable
365,果然友,紐西蘭,7,2015,棗,閹,Not Available,"$2,863,995",3,4,2,33,Not Available,46,NotAvailable
366,格萊美,紐西蘭,7,2015,棗,閹,Not Available,"$690,000",0,0,4,15,Not Available,70,NotAvailable
367,桃花紅,紐西蘭,7,2015,棗,閹,Not Available,"$570,000",1,0,0,10,Not Available,54,NotAvailable
368,森林烈火,澳洲,7,2015,棗,閹,Not Available,"$45,000",0,0,0,8,Not Available,32,NotAvailable
369,椰子糖,澳洲,7,2015,棕,閹,Not Available,"$45,000",0,0,0,11,Not Available,26,NotAvailable
370,業界巨頭,英國,7,2015,棗,雄,Not Available,"$11,800,000",1,0,0,2,Not Available,,NotAvailable
371,極速王,澳洲,7,2015,棗,閹,Not Available,"$5,925,950",2,6,5,24,Not Available,89,NotAvailable
372,榮彩大道,紐西蘭,7,2015,棗,閹,Not Available,"$564,300",1,0,0,15,Not Available,27,NotAvailable
373,榮惑,愛爾蘭,7,2015,棗,閹,Not Available,"$865,415",0,3,0,31,Not Available,29,NotAvailable
374,榮進挑戰,日本,7,2015,灰,閹,Not Available,$0,0,0,0,2,Not Available,49,NotAvailable
375,樂創未來,澳洲,7,2015,棗,閹,Not Available,"$204,100",0,0,0,6,Not Available,63,NotAvailable
376,樂多福,澳洲,7,2015,棗,閹,Not Available,"$1,035,000",1,2,2,27,Not Available,23,NotAvailable
377,樂滿家,澳洲,7,2015,棗,閹,Not Available,"$6,090,450",4,3,4,47,Not Available,71,NotAvailable
378,樂盈盈,愛爾蘭,7,2015,棗,閹,Not Available,"$898,750",1,2,0,18,Not Available,44,NotAvailable
379,樂飛勝,英國,7,2015,棗,閹,Not Available,"$136,580",0,0,1,17,Not Available,14,NotAvailable
380,標準猴王,澳洲,7,2015,栗,閹,Not Available,"$3,707,400",3,1,4,33,Not Available,73,NotAvailable
381,樸素無華,日本,7,2015,灰,雌,Not Available,"$17,385,000",1,0,0,2,Not Available,,NotAvailable
382,機智三寶,法國,7,2015,棗,閹,Not Available,$0,0,0,0,3,Not Available,68,NotAvailable
383,機緣在握,愛爾蘭,7,2015,棗,閹,Not Available,$0,0,0,0,6,Not Available,59,NotAvailable
384,歐洲新星,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,6,Not Available,30,NotAvailable
385,歡喜心,澳洲,7,2015,棗,閹,Not Available,"$4,948,870",4,5,4,46,Not Available,30,NotAvailable
386,歡樂一生,澳洲,7,2015,棗,閹,Not Available,"$5,436,020",4,6,6,56,Not Available,35,NotAvailable
387,歡樂小子,澳洲,7,2015,栗,閹,Not Available,"$9,861,215",6,13,12,95,Not Available,50,NotAvailable
388,正大光輝,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,7,Not Available,24,NotAvailable
389,正時機,澳洲,7,2015,棗,閹,Not Available,"$66,045",0,0,0,21,Not Available,19,NotAvailable
390,正義駒,澳洲,7,2015,棗,閹,Not Available,"$160,950",0,0,1,18,Not Available,16,NotAvailable
391,正陽清風,澳洲,7,2015,棗,閹,Not Available,"$4,528,000",5,1,3,33,Not Available,60,NotAvailable
392,步履娛飛,法國,7,2015,棗,閹,Not Available,"$1,750,150",1,2,2,24,Not Available,50,NotAvailable
393,步步為贏,紐西蘭,7,2015,棗,閹,Not Available,"$570,000",1,0,0,4,Not Available,52,NotAvailable
394,步步繼,澳洲,7,2015,棗,閹,Not Available,$0,0,0,0,4,Not Available,60,NotAvailable
395,比超,紐西蘭,7,2015,棗,閹,Not Available,$0,0,0,0,6,Not Available,32,NotAvailable
396,氣宇軒航,紐西蘭,7,2015,棕,閹,Not Available,$0,0,0,0,7,Not Available,28,NotAvailable
397,水星二號,南非,7,2015,棗,閹,Not Available,"$74,100",0,0,0,12,Not Available,24,NotAvailable
398,永同歡欣,紐西蘭,7,2015,栗,隱睪,Not Available,"$2,969,650",2,2,2,20,Not Available,72,NotAvailable
399,永益善,澳洲,7,2015,棗,閹,Not Available,"$4,638,760",5,5,4,46,Not Available,58,NotAvailable
400,泰益善,澳洲,7,2015,棗,閹,Not Available,"$1,176,665",1,2,1,11,Not Available,50,NotAvailable
401,活力勇士,澳洲,7,2015,棕,閹,Not Available,"$3,467,715",3,6,2,42,Not Available,40,NotAvailable
402,活力寶駒,紐西蘭,7,2015,棕,閹,Not Available,"$1,935,933",1,4,4,28,Not Available,44,NotAvailable
